invoice_no,vendor_name,job_no,job_description,project_manager_name,invoice_date,transaction_date,invoice_amount,amount_paid,total_due,retainage_amount,open_for_aging,days_outstanding,aging_bucket,original_retainage_amount
001906517351,Mutual of Omaha,,,,2025-06-30,2025-06-30,1615.6,9693.6,-8078.0,0.0,0.0,192,90+,0.0
001923701637,Mutual of Omaha,,,,2025-07-31,2025-07-31,1562.91,9377.46,-7814.549999999999,0.0,0.0,161,90+,0.0
001938850643,Mutual of Omaha,,,,2025-09-01,2025-08-31,2693.14,18851.98,-16158.84,0.0,0.0,130,90+,0.0
001955568649,Mutual of Omaha,,,,2025-10-01,2025-09-30,2083.44,14584.08,-12500.64,0.0,0.0,100,90+,0.0
001971224869,Mutual of Omaha,,,,2025-11-01,2025-11-01,2052.24,14365.679999999998,-12313.439999999999,0.0,0.0,68,61-90,0.0
001985453120,Mutual of Omaha,,,,2025-11-18,2025-11-18,1763.82,12346.74,-10582.92,0.0,0.0,51,31-60,0.0
002001693972,Mutual of Omaha,,,,2025-12-24,2025-12-24,1977.56,13842.92,-11865.36,0.0,0.0,15,0-30,0.0
00223880,Ford Dealerships,,,,2023-12-29,2023-12-29,35000.0,70000.0,-35000.0,0.0,0.0,741,90+,0.0
002274,Dunn-Edwards Paints,,,,2025-12-08,2025-12-08,157.05,0.0,157.05,0.0,157.05,31,31-60,0.0
0025062,Home Depot Credit Services,,,,2015-06-13,2015-06-13,233.33,466.66,-233.33,0.0,0.0,3862,90+,0.0
00J003612194,ReadyRefresh,,,,2020-10-08,2020-10-08,-26.9,-53.8,26.9,0.0,26.9,1918,90+,0.0
01-907320,"Lord & Sons, Inc.",4348.0,SCU Adobe (Kitchen) Remodel,Doris Quai Hoi,2026-01-06,2026-01-06,324.05,0.0,324.05,0.0,324.05,2,0-30,0.0
01012017,Unum Life Insurance Company,1.0,CA Overhead / Office Admin,G&A,2016-12-12,2016-12-12,609.04,1827.12,-1218.08,0.0,0.0,3314,90+,0.0
01012018,Unum Life Insurance Company,1.0,CA Overhead / Office Admin,G&A,2017-12-11,2017-12-11,849.79,2549.37,-1699.58,0.0,0.0,2950,90+,0.0
01012019,Rodney Terra,1.0,CA Overhead / Office Admin,G&A,2019-01-01,2019-01-01,250000.0,750000.0,-500000.0,0.0,0.0,2564,90+,0.0
01022026,Payroll4Construction,,,,2026-01-02,2026-01-02,56421.23,112842.45999999999,-56421.22999999999,0.0,0.0,6,0-30,0.0
01032025,Payroll4Construction,,,,2025-01-03,2025-01-03,49023.25,98046.5,-49023.25,0.0,0.0,370,90+,0.0
01032025,Zurich North America,,,,2025-01-03,2025-01-03,4105.88,8211.76,-4105.88,0.0,0.0,370,90+,0.0
01032026,Payroll4Construction,,,,2026-01-09,2026-01-09,75022.84,150045.68000000002,-75022.84000000003,0.0,0.0,-1,0-30,0.0
01052026,Nob Hill Foods,,,,2026-01-05,2026-01-05,30.0,0.0,30.0,0.0,30.0,3,0-30,0.0
01052026,U.S. Post Office,,,,2026-01-05,2026-01-05,8.02,0.0,8.02,0.0,8.02,3,0-30,0.0
01062023,Payroll4Construction,,,,2023-01-04,2023-01-04,37421.86,74843.72,-37421.86,0.0,0.0,1100,90+,0.0
01062023,Zurich North America,,,,2023-01-05,2023-01-05,1954.47,3908.94,-1954.47,0.0,0.0,1099,90+,0.0
01062024,Payroll4Construction,,,,2024-01-12,2024-01-12,37158.24,74316.48000000001,-37158.24000000001,0.0,0.0,727,90+,0.0
01062024,Zurich North America,,,,2024-01-12,2024-01-12,3519.25,7038.5,-3519.25,0.0,0.0,727,90+,0.0
01062026,"Office Depot, Inc.",,,,2026-01-06,2026-01-06,26.7,0.0,26.7,0.0,26.7,2,0-30,0.0
010720174,Greg Baba,1.0,CA Overhead / Office Admin,G&A,2017-01-07,2017-01-07,86.66,173.32,-86.66,0.0,0.0,3288,90+,0.0
01072022,Payroll4Construction,,,,2022-01-04,2022-01-04,19313.96,38627.92,-19313.96,0.0,0.0,1465,90+,0.0
01072022,Zurich North America,,,,2022-01-04,2022-01-04,1522.91,3045.82,-1522.91,0.0,0.0,1465,90+,0.0
01072026,Brian Kincaid,,,,2026-01-07,2026-01-07,277.0,0.0,277.0,0.0,277.0,1,0-30,0.0
01082021,Payroll4Construction,,,,2021-01-08,2021-01-08,131968.86,263937.72000000003,-131968.86000000004,0.0,0.0,1826,90+,0.0
01082024,Rami Maroukel,,,,2024-01-08,2024-01-08,326.75,980.25,-653.5,0.0,0.0,731,90+,0.0
01102020,Payroll4Construction,,,,2020-01-10,2020-01-10,310177.76,620355.5199999999,-310177.7599999999,0.0,0.0,2190,90+,0.0
01102025,Payroll4Construction,,,,2025-01-08,2025-01-08,54689.39,109378.78,-54689.39,0.0,0.0,365,90+,0.0
01102025,Zurich North America,,,,2025-01-13,2025-01-13,4165.86,8331.72,-4165.86,0.0,0.0,360,90+,0.0
0112268-INa,"B.T. Mancini Co., Inc.",1176.0,Emergency Dept. Renovation,Rodney Terra,2019-01-01,2019-01-01,895.6,895.5999999999999,1.1368683772161603e-13,5.684341886080802e-14,1.1368683772161603e-13,2564,90+,89.56
01123292769,Mutual of Omaha,,,,2020-10-01,2020-09-23,925.88,2777.64,-1851.7599999999998,0.0,0.0,1933,90+,0.0
01132016,Farmers Insurance Exchange,1.0,CA Overhead / Office Admin,G&A,2016-01-13,2016-01-13,1555.32,3110.64,-1555.32,0.0,0.0,3648,90+,0.0
01132023,Payroll4Construction,,,,2023-01-13,2023-01-13,26515.6,53031.200000000004,-26515.600000000006,0.0,0.0,1091,90+,0.0
01132023,Zurich North America,,,,2023-01-12,2023-01-12,2293.43,4586.86,-2293.43,0.0,0.0,1092,90+,0.0
01132024,Payroll4Construction,,,,2024-01-19,2024-01-19,39756.5,79513.0,-39756.5,0.0,0.0,720,90+,0.0
01132024,Zurich North America,,,,2024-01-19,2024-01-19,3850.78,7701.56,-3850.78,0.0,0.0,720,90+,0.0
01142022,Payroll4Construction,,,,2022-01-14,2022-01-14,236386.51,472773.02,-236386.51,0.0,0.0,1455,90+,0.0
01142022,Zurich North America,,,,2022-01-14,2022-01-14,1945.97,3891.94,-1945.97,0.0,0.0,1455,90+,0.0
01152016,Wells Fargo Health Benefit,1.0,CA Overhead / Office Admin,G&A,2016-01-15,2016-01-15,8600.0,34400.0,-25800.0,0.0,0.0,3646,90+,0.0
01152019,The Hartford,1.0,CA Overhead / Office Admin,G&A,2019-01-15,2019-01-15,-892.06,-1784.1200000000001,892.0600000000002,0.0,892.0600000000002,2550,90+,0.0
01172025,Payroll4Construction,,,,2025-01-15,2025-01-15,45973.61,91947.22,-45973.61,0.0,0.0,358,90+,0.0
01172025,Zurich North America,,,,2025-01-16,2025-01-16,3865.2,7730.4000000000015,-3865.2000000000016,0.0,0.0,357,90+,0.0
01182025,Payroll4Construction,,,,2025-01-24,2025-01-24,64808.54,129617.08,-64808.54,0.0,0.0,349,90+,0.0
01182025,Zurich North America,,,,2025-01-24,2025-01-24,4780.02,9560.039999999999,-4780.019999999999,0.0,0.0,349,90+,0.0
01202023,Payroll4Construction,,,,2023-01-18,2023-01-18,27602.87,55205.74,-27602.87,0.0,0.0,1086,90+,0.0
01202023,Zurich North America,,,,2023-01-19,2023-01-19,2292.75,4585.5,-2292.75,0.0,0.0,1085,90+,0.0
01202024,Payroll4Construction,,,,2024-01-26,2024-01-26,38507.84,77015.68000000001,-38507.84000000001,0.0,0.0,713,90+,0.0
01212022,Payroll4Construction,,,,2022-01-18,2022-01-18,22256.56,44513.12,-22256.56,0.0,0.0,1451,90+,0.0
01212022,Zurich North America,,,,2022-01-19,2022-01-19,1919.96,3839.92,-1919.96,0.0,0.0,1450,90+,0.0
01222021,Payroll4Construction,,,,2021-01-22,2021-01-22,46282.15,92564.29999999999,-46282.14999999999,0.0,0.0,1812,90+,0.0
01242020,Payroll4Construction,,,,2020-01-21,2020-01-21,33697.42,67394.84000000001,-33697.42000000001,0.0,0.0,2179,90+,0.0
01252016,Kaiser Foundation Health Plan,1.0,CA Overhead / Office Admin,G&A,2016-01-25,2016-01-25,7950.54,31802.16,-23851.62,0.0,0.0,3636,90+,0.0
01252017,Kaiser Foundation Health Plan,1.0,CA Overhead / Office Admin,G&A,2017-01-25,2017-01-25,19099.06,76396.24,-57297.18000000001,0.0,0.0,3270,90+,0.0
01252025,Zurich North America,,,,2025-01-31,2025-01-31,4638.29,9276.58,-4638.29,0.0,0.0,342,90+,0.0
01262024,Zurich North America,,,,2024-01-26,2024-01-26,3849.16,7698.320000000001,-3849.1600000000008,0.0,0.0,713,90+,0.0
01272023,Payroll4Construction,,,,2023-01-25,2023-01-25,27136.07,54272.14,-27136.07,0.0,0.0,1079,90+,0.0
01272023,Zurich North America,,,,2023-01-26,2023-01-26,2325.04,4650.080000000001,-2325.040000000001,0.0,0.0,1078,90+,0.0
01272024,Zurich North America,,,,2024-02-02,2024-02-02,3680.55,7361.1,-3680.55,0.0,0.0,706,90+,0.0
01282022,Payroll4Construction,,,,2022-01-25,2022-01-25,23778.93,47557.86,-23778.93,0.0,0.0,1444,90+,0.0
01282022,Zurich North America,,,,2022-01-28,2022-01-28,2055.77,4111.54,-2055.77,0.0,0.0,1441,90+,0.0
01292025,Payroll4Construction,,,,2025-01-31,2025-01-31,51012.08,102024.16,-51012.08,0.0,0.0,342,90+,0.0
01312016,Greg Baba,1.0,CA Overhead / Office Admin,G&A,2016-01-31,2016-01-31,63.2,126.4,-63.2,0.0,0.0,3630,90+,0.0
01312017,Greg Baba,1.0,CA Overhead / Office Admin,G&A,2017-01-31,2017-01-31,457.48,1829.92,-1372.44,0.0,0.0,3264,90+,0.0
01312017,Lisa Dang,1.0,CA Overhead / Office Admin,G&A,2017-01-31,2017-01-31,25.92,103.68,-77.76,0.0,0.0,3264,90+,0.0
01312017,Pedro Becerra,1037.0,Floor 2 South East,Michael Fernandes,2017-01-31,2017-01-31,348.84,3837.2400000000002,-3488.4,0.0,0.0,3264,90+,0.0
01312018,Greg Baba,1.0,CA Overhead / Office Admin,G&A,2018-01-31,2018-01-31,417.18,834.36,-417.18,0.0,0.0,2899,90+,0.0
01312019,Daniel Munoz Acosta,,,,2019-01-31,2019-01-31,85.57,171.14,-85.57,0.0,0.0,2534,90+,0.0
01312019,Greg Baba,1.0,CA Overhead / Office Admin,G&A,2019-01-31,2019-01-31,51.92,155.76,-103.83999999999999,0.0,0.0,2534,90+,0.0
01312019,Lisa Dang,,,,2019-01-31,2019-01-31,250.87,501.74,-250.87,0.0,0.0,2534,90+,0.0
01312020,Daniel Munoz Acosta,,,,2020-01-31,2020-01-31,224.25,1121.25,-897.0,0.0,0.0,2169,90+,0.0
01312020,Peter Morin,,,,2020-01-31,2020-01-31,455.98,2279.9,-1823.92,0.0,0.0,2169,90+,0.0
01312021-MIL,Peter Morin,,,,2021-01-31,2021-01-31,375.76,1503.04,-1127.28,0.0,0.0,1803,90+,0.0
01312022,Peter Morin,,,,2022-01-31,2022-01-31,548.15,3837.05,-3288.9,0.0,0.0,1438,90+,0.0
01312023,Peter Morin,,,,2023-01-31,2023-01-31,606.52,5458.68,-4852.16,0.0,0.0,1073,90+,0.0
01312024,Mutual of Omaha,,,,2024-01-31,2024-01-31,1397.32,4191.96,-2794.6400000000003,0.0,0.0,708,90+,0.0
01312024,Payroll4Construction,,,,2024-01-31,2024-01-31,36946.34,73892.68000000001,-36946.34000000001,0.0,0.0,708,90+,0.0
01312025,Peter Morin,,,,2025-01-31,2025-01-31,608.3,4866.4,-4258.099999999999,0.0,0.0,342,90+,0.0
01312025,Peter Phan,,,,2025-01-31,2025-01-31,704.9,2819.6000000000004,-2114.7000000000003,0.0,0.0,342,90+,0.0
01312025,Stuti Parikh,,,,2025-01-31,2025-01-31,826.0,1652.0,-826.0,0.0,0.0,342,90+,0.0
0143265,Meals and Entertainment,,,,2025-11-18,2025-11-18,28.8,28.799999999999997,3.552713678800501e-15,0.0,3.552713678800501e-15,51,31-60,0.0
0144373-IN,"B.T. Mancini Co., Inc.",4563.0,SVMH 212 San Jose 2nd Flr Ligh,Josh Angelo,2025-04-19,2025-04-19,40964.0,38915.8,2048.199999999997,2048.2,2048.199999999997,264,90+,2048.2
01454,R.E. Cuddie Co.,4418.0,GSH MBU Suites Project,Doris Quai Hoi,2025-04-10,2025-04-10,939.0,845.1,93.89999999999998,93.9,93.89999999999998,273,90+,93.9
014830,Meals and Entertainment,,,,2025-12-12,2025-12-12,35.02,0.0,35.02,0.0,35.02,27,0-30,0.0
014909,MISCELLANEOUS VENDOR,4582.0,SRDH Siena IT Refresh,Pedro Becerra,2025-04-29,2025-04-29,50262.1,100524.2,-50262.1,0.0,0.0,254,90+,0.0
02.2021-MILE,Peter Morin,,,,2021-02-28,2021-02-28,510.16,2040.64,-1530.48,0.0,0.0,1775,90+,0.0
02012016,Unum Life Insurance Company,1.0,CA Overhead / Office Admin,G&A,2016-01-11,2016-01-11,390.15,1170.45,-780.3000000000001,0.0,0.0,3650,90+,0.0
02012017,Unum Life Insurance Company,1.0,CA Overhead / Office Admin,G&A,2017-01-10,2017-01-10,593.96,1781.88,-1187.92,0.0,0.0,3285,90+,0.0
02012018,Scott Boulevard Associates,1.0,CA Overhead / Office Admin,G&A,2018-02-01,2018-02-01,12195.8,24391.6,-12195.8,0.0,0.0,2898,90+,0.0
02012018,Unum Life Insurance Company,1.0,CA Overhead / Office Admin,G&A,2018-01-10,2018-01-10,828.13,2484.39,-1656.2599999999998,0.0,0.0,2920,90+,0.0
02012018a,Kaiser Foundation Health Plan,1.0,CA Overhead / Office Admin,G&A,2018-01-25,2018-01-25,1422.55,2845.1,-1422.55,0.0,0.0,2905,90+,0.0
02012020,Payroll4Construction,,,,2020-02-07,2020-02-07,67265.58,134531.16,-67265.58,0.0,0.0,2162,90+,0.0
02012022,Bay Club Santa Clara,,,,2022-02-01,2022-02-01,225.5,451.0,-225.5,0.0,0.0,1437,90+,0.0
02012025,Payroll4Construction,,,,2025-02-07,2025-02-07,51115.49,102230.98,-51115.49,0.0,0.0,335,90+,0.0
02012025,Zurich North America,,,,2025-02-07,2025-02-07,4962.83,9925.66,-4962.83,0.0,0.0,335,90+,0.0
02032023,Payroll4Construction,,,,2023-02-01,2023-02-01,27178.98,54357.96,-27178.98,0.0,0.0,1072,90+,0.0
02032023,Zurich North America,,,,2023-02-02,2023-02-02,2445.33,4890.66,-2445.33,0.0,0.0,1071,90+,0.0
02032024,Payroll4Construction,,,,2024-02-09,2024-02-09,37327.25,74654.5,-37327.25,0.0,0.0,699,90+,0.0
02032024,Zurich North America,,,,2024-02-09,2024-02-09,3644.54,7289.08,-3644.54,0.0,0.0,699,90+,0.0
02042022,Payroll4Construction,,,,2022-01-31,2022-01-31,18999.69,37999.38,-18999.69,0.0,0.0,1438,90+,0.0
02042022,Zurich North America,,,,2022-01-31,2022-01-31,1665.41,3330.82,-1665.41,0.0,0.0,1438,90+,0.0
02052021,Payroll4Construction,,,,2021-02-05,2021-02-05,41835.03,83670.06,-41835.03,0.0,0.0,1798,90+,0.0
02062025,Rodney Terra,,,,2025-02-14,2025-02-14,10250.82,20501.64,-10250.82,0.0,0.0,328,90+,0.0
02072020,Bank of America,,,,2020-02-07,2020-02-07,4531.89,9063.779999999999,-4531.8899999999985,0.0,0.0,2162,90+,0.0
02082025,Payroll4Construction,,,,2025-02-14,2025-02-14,54133.11,108266.22,-54133.11,0.0,0.0,328,90+,0.0
02082025,Zurich North America,,,,2025-02-14,2025-02-14,5393.04,10786.08,-5393.04,0.0,0.0,328,90+,0.0
02102023,Payroll4Construction,,,,2023-02-08,2023-02-08,29042.99,58085.98,-29042.99,0.0,0.0,1065,90+,0.0
02102023,Zurich North America,,,,2023-02-09,2023-02-09,2584.75,5169.5,-2584.75,0.0,0.0,1064,90+,0.0
02102024,Payroll4Construction,,,,2024-02-16,2024-02-16,35268.56,70537.12,-35268.56,0.0,0.0,692,90+,0.0
02102024,Zurich North America,,,,2024-02-16,2024-02-16,3496.7,6993.400000000001,-3496.7000000000007,0.0,0.0,692,90+,0.0
02112022,Payroll4Construction,,,,2022-02-11,2022-02-11,24076.84,48153.68,-24076.84,0.0,0.0,1427,90+,0.0
02112022,Zurich North America,,,,2022-02-11,2022-02-11,2142.31,4284.62,-2142.31,0.0,0.0,1427,90+,0.0
02152025,Payroll4Construction,,,,2025-02-21,2025-02-21,53835.81,107671.62000000001,-53835.81000000001,0.0,0.0,321,90+,0.0
02152025,Zurich North America,,,,2025-02-21,2025-02-21,5460.29,10920.58,-5460.29,0.0,0.0,321,90+,0.0
02172023,Payroll4Construction,,,,2023-02-15,2023-02-15,28820.0,57640.0,-28820.0,0.0,0.0,1058,90+,0.0
02172023,Zurich North America,,,,2023-02-16,2023-02-16,2602.71,5205.42,-2602.71,0.0,0.0,1057,90+,0.0
02172024,Zurich North America,,,,2024-02-23,2024-02-23,3894.27,7788.54,-3894.27,0.0,0.0,685,90+,0.0
02182022,Payroll4Construction,,,,2022-02-18,2022-02-18,23168.4,46336.8,-23168.4,0.0,0.0,1420,90+,0.0
021822,Zurich North America,,,,2022-02-18,2022-02-18,2090.06,4180.12,-2090.06,0.0,0.0,1420,90+,0.0
02192021,Bridge Bank,,,,2021-02-19,2021-02-19,41506.52,83013.04000000001,-41506.52000000001,0.0,0.0,1784,90+,0.0
02192022,Zurich North America,,,,2022-02-19,2022-02-19,1815.61,3631.22,-1815.61,0.0,0.0,1419,90+,0.0
02202024,Payroll4Construction,,,,2024-02-23,2024-02-23,37219.85,74439.7,-37219.85,0.0,0.0,685,90+,0.0
02212020,Payroll4Construction,,,,2020-02-18,2020-02-18,87866.87,175733.74000000002,-87866.87000000002,0.0,0.0,2151,90+,0.0
02222019,The Hartford,1.0,CA Overhead / Office Admin,G&A,2019-02-22,2019-02-22,4372.84,8745.68,-4372.84,0.0,0.0,2512,90+,0.0
02222025,Payroll4Construction,,,,2025-02-28,2025-02-28,51821.74,103643.48000000001,-51821.74000000001,0.0,0.0,314,90+,0.0
02222025,Zurich North America,,,,2025-02-28,2025-02-28,5369.54,10739.08,-5369.54,0.0,0.0,314,90+,0.0
02242023,Payroll4Construction,,,,2023-02-22,2023-02-22,28640.92,57281.840000000004,-28640.920000000006,0.0,0.0,1051,90+,0.0
02242023,Zurich North America,,,,2023-02-24,2023-02-24,2526.87,5053.74,-2526.87,0.0,0.0,1049,90+,0.0
02252016,Kaiser Foundation Health Plan,1.0,CA Overhead / Office Admin,G&A,2016-02-25,2016-02-25,7950.54,31802.16,-23851.62,0.0,0.0,3605,90+,0.0
02252019,Rodney Terra,1.0,CA Overhead / Office Admin,G&A,2019-02-25,2019-02-25,150815.0,301630.0,-150815.0,0.0,0.0,2509,90+,0.0
02252022,Payroll4Construction,,,,2022-02-25,2022-02-25,22145.7,44291.4,-22145.7,0.0,0.0,1413,90+,0.0
