Job_No,Job_Description,Billed_Revenue
1198,DH ICU Sliding Door Repair,2508.0
1199,Parking Lot Gravel Repairs,4080.0
1201,Nuc Med Plaza Stair Rail,4063.0
1202,Water Tank Piping,6325.0
1205,Kitchen Containment Tile R&R,1654.0
1209,MV Mother Baby Corridor Chair,1445.0
1212,Building 14 Water Heater,330.0
1213,Kitchen Door Threshold,3005.0
1214,New Kitchen Equipment,97618.0
1216,LDR/2West Cabinet Replacements,84484.0
1217,Charny Hall Data Recovery,16938.0
1218,Sleep Room Bed Relocation,397.0
1219,ECH MV Concern Office,57486.0
1220,Relocating Tugs at Kitchen,1104.0
1222,3050 Paul Sweet T.I.,6535.0
1226,Men's Toilet Room Faucets,4229.0
1227,1644 E. Capitol Expwy Glass,1615.0
1228,Temporary Generator,7954.0
1229,2nd Floor Sink & Casework,4650.0
1235,Kennedy Service Desk & Kitchen,64264.0
1239,2 Emergency Phone Lot & ED,4500.0
1241,Willow Bldg Tomosynthesis,160323.0
1242,Stop Sign Installation,658.0
1243,DH Gift Shop,15000.0
1244,DH Rated Door at Dish Room,3254.0
1245,1333 Meridian Ave Site Work,83499.0
1246,Medi Plus,21387.0
1247,Infusion Minor Upgrade,14927.0
1249,Lee/Jamplis ABPR,1448004.35
1250,Paul Sweet Punchlist,5538.0
1253,Winchester Clinic Ex. Sound,959.0
1254,Cafeteria Survey & Cafe Lights,4918.0
1256,Kitchen,9997.0
1257,BH Outpatient Facilities,490539.0
1259,MEDI PLUS installation,33940.0
1260,Emergency Lights,780.0
1261,Clean Baker Tank,5449.0
1262,Remove Counters OR 4 & 5,3629.0
1263,Charney Hall Data Recovery 2,225711.0
1265,Malley Center,67520.0
1266,Wing H Shelled Storage,61300.0
1267,Driveway Light & Sign Install,3087.0
1268,Jor Jet miscellaneous,2514.0
1270,Orchard Parkway Light Base,5000.0
1271,OCH Coffee Cart,5073.0
1272,DH OR Containment,2882.0
1273,DH Short Stay Visitor Parking,2113.0
1275,Lobby Donor Wall Temp Light,2083.0
1278,SCMC Underground Utilities,220104.0
1280,DH Flooring Containment,9095.0
1284,Foundation Repair 316 Kimber,2500.0
1287,Melchor Suite - Dr. Menkes,99463.0
1288,WH-Suite 200 RetinaV,18133.85
1289,S&S SCU Generator Pad,25000.0
1290,Lexington Ave. Bioswales,64695.0
1292,ECH MV ED Sign Removal & Patch,3513.0
1294,Interim Construction Signs,41033.23
1295,DeSaisset Sculpture Install,900.0
1296,Charney Hall Curb Demo,135300.0
1297,Front Doctor's Parking Lot,0.0
1302,2350 ECR Driveway Repair,1239.0
1304,Office 2A301 - Sheet Vinyl,6816.0
1305,Office 1C282,2374.0
1306,Warehouse Offices,85661.0
1311,PAMF 49 Wells Mammo,170689.0
1312,PAMF Fremont Mammo,78044.0
1313,PAMF Los Altos Mammo,163000.0
1314,PAMF Dublin Mammo,96393.0
1315,PAMF San Carlos Mammo,6406.0
1316,"Charney Ground Breaking Cer,",4300.0
1317,Charney Electrical Underground,132007.0
1320,Signs at Southwest Entrance,385.0
1321,Float Walls at BHU Admin,7423.0
1322,Suite 2G Extra Work,1246.0
1323,Old Main Glass Sign Removal,403.6
1324,Education Building HVAC & Elec,4613.0
1325,2660-F Grant Door Installation,38618.0
1326,IDF Upgrade Dominican Hospital,264915.0
1327,Dr. Rice Corridor Repair,3920.0
1328,Containment at Elevator 1,626.0
1329,701 ECR ABRP 2SE Dressing Room,30173.0
1334,795 ECR Infusion Pharmacy Hood,68978.5
1338,Kitchen Tile Investigation,1893.65
1339,Lot A (2) Lockable Bollards,3399.0
1340,Central Supply Infection Contr,456.51
1341,BHU Crash Rail,7225.0
1342,Ceiling Fire Ratings,409.0
1345,Cafeteria Light Replacement,74950.49
1347,Ext Water Leak - 3C West 33,14682.29
1353,DH BHU Painting,7264.0
1354,North Garage Striping,5533.0
1355,NICU Containment/Wall Finish,14981.0
1356,Concrete Repair at Coffee Cart,4163.0
1357,Bollards at New I Lot Gates,2426.0
1358,EEAP Compliance Report,3653.17
1359,Melchor #309 Dr. Yaskin Floor,16512.0
1361,1333 Meridian Reception Glass,2352.0
1369,IR Conference Rm 2B280 Floor,6347.0
1370,Equipment Room 1B291 Flooring,5116.0
1371,T-Mobile Telecom Facility,9406.0
1372,ECH New Main Lab Upgrades,1567516.0
1373,Oak Pavilion Cancer Ctr Cable,1321.61
1374,DH Lab Data Rack,4235.1
1376,DH Countertop Containment,1414.6
1377,Oak Cancer Center Handrails,2858.36
1378,Oak Cancer Center Curtains,45755.5
1379,DH TCU Flooring,2651.68
1380,DH South Corridor Ceiling,5957.0
1382,Silver Creek Artwork,1143.0
1383,Removal of Temp Generator,2612.0
1385,"DH Cut Vent Pipe, Annunciator",1313.0
1386,ICU Toilet Rm Floor Containmen,723.0
1387,Charney Hall Phase 1 Discovery,136028.1
1388,Infusion Center Pharmacy,28977.0
1390,DH Giftshop Modification,42626.38
1391,2039 Forest Ave. Fire Marshall,7148.0
1395,DH Sign Removal South Parking,943.45
1397,DH TCU Containment,1755.46
1398,PICC ECH,2966.0
1399,OR#9- Tool Install,55505.98
1400,ECH MV AFB Lab,20930.36
1402,1427 Site Utilities Concrete,2101.49
1405,DH TCU Containment 2231/2232,1454.06
1410,Permanent Bollard Lot A,1500.0
1411,Concrete Curb 3050 Paul Sweet,2891.0
1412,Auto Door Opener Rm 2A283,10151.0
1413,CO2 Fire Extinguishers,6480.0
1415,IHC Silver Creek Electrical,3674.59
1417,3684 Rocky Creek Ct HVAC,4800.0
1419,Concrete Bollards at Entrance,36203.0
1422,Park Pavilion CCT Assistance,20887.35
1425,DH Containment 2311/2312,467.78
1427,1950 University Cir. Fertility,2396451.17
1428,DH Corridor Containment Endo,815.79
1429,New Main Kitchen Data Drop,1588.0
1434,ECH WH Crash Cart Circuits,1258.0
1435,Inpatient Phlebotomy Relocate,33986.3
1436,Katz Wig Room Door,3691.5
1437,Fremont Warehouse,44251.76
1438,DH E23 Access Hatch,1820.57
1440,Valet Parking Structure,6525.0
1443,DH ICU Infection Ctrl/Plumbing,7476.06
1445,2520 Samaritan Drive,151045.0
1446,2039 Forest Handrail Extension,2564.32
1447,DH 3050 T.R. Clean Up,1274.83
1448,Fire Alarm Emergency Light,1112.0
1449,Foundation Office,12254.85
1450,Gift Shop Slat Wall,2400.0
1452,Subacute Tub/Shower Conversion,33894.0
1453,O'Connor Rad Rooms,30616.0
1454,2039 Forest Ste 105 Signage,5905.9
1455,81' Bldg Re-caulk,33432.0
1457,Danville Exam Rm Mirror Instal,6814.0
1458,1333 Meridian Wall Finishes,2751.45
1459,Central Sterile Containment,476.23
1460,Infusion Ctr Containment & Doo,433.96
1461,DH Doctor's Lounge,23312.29
1462,Storage Room Water Leak Repair,2041.0
1463,DH Water Leak Cath Lab 1,3096.91
1464,IT Remediation,2370724.03
1465,2039 Forest Dental Clinic,15653.0
1466,de Saisset Sculpture Bench Ins,11822.0
1468,1333 Meridian Roof Patch,482.0
1469,Floor Containment ICU Nurse,493.14
1470,2039 Forest Dental Clinic Sign,2000.63
1471,AHU-8 Humidity Repairs,977991.0
1473,DH Healing Courtyards,1697461.0
1477,701 ECR Pharmacy Canopy Repair,38930.0
1478,Ctrl Sterile Containment/Wall,5269.54
1479,Fremont 1 Lobby Door Replace,14787.85
1480,Melchor Suite 205 T.I.,22427.0
1481,Pharmacy Investigation,1552.5
1482,Walshcon End of LIne Restraint,3184.27
1483,2410 Samaritan Drive TI,18959.0
1484,1333 Meridian Secretary Office,1006.0
1485,Containment Rms 2213/2214,783.39
1486,Trash Compactor Concrete Repai,3345.0
1487,BHU Panel Removal,806.5
1488,BHU Wall Skim @ S Offices,5862.44
1489,1333 Meridian FDC Signage,225.0
1491,BHU Picnic Tables,1416.0
1492,"Room 117 2"" Cast Iron Fitting",607.0
1493,Pathology Access Hatches,9170.07
1494,Short Stay Drywall Repair 1213,399.0
1495,701 2SE067 Office Remodel,14046.0
1496,DH Lab Draw,144894.3
1499,SCU Campus Safety Remodel,400717.0
1500,Automate Doors GA105,15948.0
1502,Rehab Gym Therapy Tub Enclosur,10165.09
1504,Vari Hall Offices,62037.7
1506,Infusion Pharmacy Lab Floor Re,1118.0
1507,Phillips Concrete Core,10910.0
1508,Northwest TCU Door Replacement,3767.0
1509,Unified Communications Project,3030964.28
1510,Women's Hospital L&D OR 3,1418.79
1511,1333 Meridian Concrete,10036.0
1512,Containment Flooring CC Corri,1801.5
1515,Calypso @ 125 South Drive,6876.5
1517,DH Radiology Remodel - CT1&2,3326175.0
1518,DH Dietary Remodel,2828881.94
1519,FC Bldg Lab Eyewash,11214.0
1520,DH Washer Replacement,27888.0
1522,Drywall Patch By Elevator 2,402.0
1523,OCH Main/ED Lobby Finishes,315911.5
1524,1333 Meridian Parking Lot Sign,1264.0
1525,LDRP Ceiling Tile Replacement,28717.0
1526,Women's Hospital Bench,661.0
1527,Door Bell at Health Connection,400.0
1528,Pharmacy Floor Patch,2081.0
1532,Dr. S Parking Sidewalk,9935.0
1533,Endo Waiting Rm Flooring,9007.0
1534,Basement Interior H20 Proof,3200.0
1539,Truncated Domes at Old Main,4259.27
1541,DH BHU Conference Rm,15350.5
1542,Roll Up Doors/Framing,20331.0
1543,Exterior Concrete Infill Chape,2641.0
1545,DECC Audio Project,15350.5
1546,Sleep Room Ceiling Tile Repair,598.0
1547,ED Acrovyn Lounge,8750.0
1549,PAMF MVC 701 ECR MRI,166562.18
1550,Sterile Processing Sink Foot,2427.0
1552,GN421 Supply/Admin Remodel,7167.0
1553,Dublin Center 3rd Flr Eye Exp.,270234.0
1554,Dublin Center 3rd ENT Expansio,86677.05
1555,Fremont Center UCC Expansion,192745.47
1556,Lee Upgrades - permits,3229.4
1557,Barrier Gates at Parking Lot,4852.0
1559,Wood Leaf Sewer Line,16375.0
1560,PAMF 2SE067 Office Remodel,3436.0
1562,Rehab Outpatient Gym Mirrors,2928.0
1563,1A134 Carpet Replacement,2169.0
1565,Giftshop Door-Intertek,1932.0
1566,129 Trinity Street Remodel,16544.0
1568,DH Unified Com. Cable & Design,207795.0
1572,NICU IC for CCT,4900.0
1573,3418 Shady Spring Ln. ADA Upgr,26184.08
1574,OCH T&Ms,65231.33
1575,ARU Sprinkler Head and Ceiling,1474.0
1577,2660 Grant Rd Flooring / Paint,56726.0
1579,New Main Lab Upgrades EZ Paths,8181.0
1581,Asbestos Inspection Rm 117,978.0
1587,PAMF 701 MVC Infusion,22980.0
1588,PAMF 301 Sunnyvale Infusion,27194.0
1589,PAMF 3200 Fremont Infusion,27359.0
1591,Dorm Building Lighting,20000.0
1596,Coil Cleaning,13533.0
1599,TV Mounts,4844.0
1600,Water Tank Overflow Piping,2745.0
1601,205 South Drive Coil Access,1048.0
1602,OR I.C. Stryker Install,11869.53
1604,Fremont Blvd Exterior Lighting,40000.0
1606,AHU Replacement Project Part B,6742333.0
1612,Wiring at Pediatrics,1880.0
1613,AHU-5 Upsize,494456.06
1614,New Main 1st Fl Chaplin Reloc,11227.0
1615,ARU Auto Doors,33774.0
1616,Containment 2324/2323,567.0
1617,Brickyard Plumbing,7000.0
1618,New Main Lab Make Ready,19832.0
1621,Endo Room 8 Electrical Outlet,4202.0
1622,New Main Rad Work Station Moni,891.0
1623,2NE Phillips GCX Bracket,8440.0
1625,BHS Courtyard & East Exit,13485.0
1627,DH 3050 Paul Sweet Toilet Rep,703.0
1628,DH Cancer Center Containment,491.5
1629,DH Corridor Fire Rtd Access Do,716.0
1633,OR #3 Equipment Removal,12280.0
1634,PAMF Los Gatos Center Ultrasou,36865.66
1635,South Campus Residence Utility,1037407.46
1636,SCU Low Voltage Piping Reroute,108025.0
1637,DH OR 3 Containment,489.0
1639,PAMF Fremont Center Bldg 1 Bre,295073.51
1640,Women's Hospital Security I.C.,893.0
1641,Lexington Fire Lane,16000.0
1642,10121 Foothilll Blvd. Grading,1800.0
1645,Interim Meditation Room,17111.0
1648,Alumni Science Chem Biology La,142804.0
1649,DH Auto Doors,2964.0
1650,JACCO,34987.4
1651,Arts Bldg Water Line Repair,8716.34
1652,DH AT&T,1151.6
1653,Senior Center Monitor,3084.0
1655,Birth Recorder Office Carpet,2157.0
1656,DH Hose Bib,4320.0
1657,Lab Conference Room TV Install,7222.76
1659,OR Nurse Lounge Locker Removal,14290.0
1661,DH Water Line Flush/Faucet,3286.0
1662,Flooring Containment 2147/2148,567.0
1665,Radiology Monitor & Power,3894.59
1666,Medi-Plus Fuse Repairs,1075.0
1667,Fremont 3rd Floor Eye Expansio,66532.61
1668,Building 15 Door Cutting,810.0
1669,DH 4700 Soquel Clinic Concrete,1938.0
1670,DH Old Pharmacy Wall Infill,1642.0
1672,DH Flr Contn 2317/2328 2233/34,791.0
1674,Flooring Containment 2235/36,668.0
1675,DH Central Sterile Metal Doors,21558.0
1676,DH Flrng Containment 2225/2226,1310.0
1678,DH Flooring 2221/2222,1153.0
1679,DH Additional Electrical ED,2205.0
1680,Park Pavilion Toilet Partition,2095.0
1681,RME Flooring Replacement,23648.0
1683,PAMF Dublin Center Pediatric R,13456.0
1684,Lab Histology Countertop,750.0
1686,DH Floor Containmen 2143/44/49,1500.0
1687,Security Cameras,3600.43
1690,Women's Hospital Drain Guard R,6566.0
1692,2053 Soiled Utility SV Drywall,9633.0
1693,DH 2 Floor Pharmacy Flooring,781.0
1694,DH ED Lobby Flooring,1101.0
1696,PAMF 2581 Samaritan Dr Ste 210,52316.0
1699,SCU Residence Hall Archeology,84818.54
1700,DH Pharmacy BreakRm Insulation,598.0
1701,DH 2 NE Wall Finishes,4845.0
1702,DH Paul Sweet Water Leak,2644.0
1703,Imaging Portable Equipment Pow,1724.0
1704,DH Paul Sweet Weather Strippin,217.0
1707,"5431 & 4431 4"" Sewer Repair",6508.0
1709,DH Sewer Line Containment,724.0
1710,Lab Rm 1432/1448 Countertop,6349.0
1713,PAMF 87 Encina Cardiology,2180207.99
1714,SCU Alameda Hall Civil Bld Out,3239035.34
1717,DH DECC Egress Door FA,2012.0
1718,DH 1stFlr Fire Rated Vision Lt,950.0
1719,SPD Docker Box Install,8470.0
1721,1333 Meridian Dental Waiting,1348442.0
1722,PAMF Fremont 1 UCC Exam,94677.33
1724,DH Interstitial Clean Up,866.0
1725,Drs Parking Manhole Replace/De,2238.0
1730,Banner Pole,4962.0
1731,OR 4 & 10 Countertop Replace,5714.0
1732,SPD Floor Repair,3576.0
1733,AC Units Install RMS 327 & 328,2704.0
1734,Plumbing Repair,20043.0
1735,Rm 3056 Sink Removal,2723.0
1737,CCU Metal Door Replacement,8244.0
1740,Archaeology 9/29,1269.0
1741,DH OR 2 Containment,778.5
1742,DH TUC Containment Nurse Stati,304.0
1743,MOB Entry Walkway Concrete Rep,3500.0
1745,Old Pharm Drywall (e) Ceiling,17652.0
1746,DH OR Hybrid Alpha Air Pre Bal,2017.0
1747,DH DECC Shed Demo,885.0
1748,3C Power Strip Install,504.0
1749,Sculpture Base Replacement,16744.0
1752,Shade Structure Portable Cylin,6156.0
1753,Rm 201 AC Install,1590.0
1756,205 South Drive Corridor Door,2225.0
1757,PAMF 701 ECR Imaging Dressing,3347.0
1758,SCU STEM Garage,4873858.51
1759,Work Order ONLY,35203.0
1760,Relocate GE Cardiac Monitor,556.0
1761,Elevator Modernization,537217.39
1762,Lobby Grout Patching,399.0
1766,Fremont Mammo 1312 CO,60000.0
1767,Imaging Conference Rm Outlet,1455.0
1776,5601 Norris Canyon Ste. 100,127799.0
1777,"Outpatient Rehab 2"" Water Line",2770.0
1778,New Main OR#6 Mechoshades Inst,1837.0
1779,SCU South Campus Transformer,29702.99
1784,PAMF AAAHC Electrical Upgrades,3275.0
1787,Kitchen Tile Repair Project,36628.0
1788,81' Bldg Plumbing Leak,6597.0
1789,Rm 2802 Bathroom Flr Replaceme,2359.0
1790,MOB Rm 225 Water Leak,2108.17
1791,SJMC  IT Infrastructure,1200394.2
1792,Charney Hall Bioswale Excavati,17470.43
1793,100 Park Place Ste 100 San Ram,4364.8
1794,San Jose Surgery Center Surgic,37566.0
1795,EPI Installation,6686.0
1797,North Elevation Exterior Water,96661.0
1798,Materials Mgt Flooring Removal,814.0
1799,Parking Lot Lights Repair,12662.0
1801,Franklin St Excavation-Albion,2914.0
1803,Building 1 Dr Myneni's Remodel,37066.0
1804,Building 1 Post/Column Repairs,1546.0
1805,Fire Alarm Upgrade,1726035.0
1806,DH Paul Sweet #2,532.0
1811,Forest Ave Storefront Repairs,3500.0
1813,OCH Pharmacy Upgrades,349902.64
1815,New Main ED Card Reader IC,1062.65
1816,DH Exterior Patch and Paint,5484.0
1817,DH Water Damage Rm 1224,2721.0
1818,Home Health Ergonomic Desk,551.0
1819,Pharmacy at ECH Main Lobby,6017.61
1820,OCH OR10,18000.0
1821,DH Solar Lights,5306.0
1822,Alameda Hall Transformer,12000.0
1823,Alcotti Way 5 Way Switch,15000.0
1826,DH Home Health Lighting,416.0
1828,1st Floor Lab Emergency Pwr,11142.0
1829,MOB Entry Broken Glass Replac,1814.0
1830,DH 3050 Paul Sweet Door Repair,445.0
1831,701 MVC January Canopy Repair,52439.0
1832,NUC Med Drywall Repairs,469.0
1834,New Main ED Remodel Field Inve,6833.5
1835,CT Monitor Boom,32029.0
1836,Administrative Office 127 Sewe,4438.0
1837,1341 Meridian Breakroom,160550.0
1839,SCU Emergency Phone,5000.0
1840,Gradall Mechanical Motor Work,534.0
1841,Seton Pharmacy Upgrade,300526.49
1843,Construction Camera Adjustment,1376.0
1844,Assemble Bariatric Table,571.0
1845,DePaul Conf Investigative Demo,2980.0
1846,D/F/H replacement & recert,2914.0
1847,DH Central Sterile Electrical,92971.0
1848,Electric Car Charger Signs,517.0
1849,TJC Door Repairs,5915.0
1850,Construction Post Removal,1045.0
1856,1685 Westwood,26752.0
1860,Room 402 AC Install,2105.0
1861,Gourmet Alley Additional Power,5254.0
1865,DH Home Health Ergotron Desk,882.0
1866,ED Rm 118 Wire Mold Relocation,2995.0
1867,Replace 9 doors,12069.0
1868,Replace DFH at L+D,15500.4
1870,Materials Mgt Floor Removal,1183.5
1871,MM Floor Prep,1167.5
1872,MM Common Area Base,935.0
1873,MM Break and Hall base,766.0
1874,NICU Courtyard,887778.18
1876,OR Electrical,68690.0
1877,OCH Work Orders,22239.0
1879,DH FSD Access Door,3752.0
1880,Smart Market Vending Machines,30342.0
1886,OCH Pyxis Machine Bottom Plate,7000.0
1887,2018 Warranty Costs,0.0
1891,IHC Meridian Basement,112635.0
1895,New Main Kitchen Tile Repair,301443.0
1897,DECC Toilet Partition Infill,1110.0
1898,LG Ultrasound Light Replacemen,1275.0
1899,Loading Dock Trash Compactor &,55454.39
1903,DH Freeze and Cap at 2 West,1014.0
1904,Mechoshade Install I.C,1392.0
1905,Cancer Center Bench Anchoring,293.0
1906,Family Lounge 4N345 Laundry,6399.0
1907,Red VCT @ SPD Clean Room,3712.0
1908,SCU Emergency Blue Phone,5000.0
1909,Sterile Processing I.C.,45285.0
1910,WH LL Garage Fire Caulking,637.0
1913,Good Samaritan 37 Light Pole,73000.0
1916,Tile Repair Behind Patient Tra,2715.0
1917,Cup NPC Punchlist,28587.0
1918,701 ADOs at Endo and Rheumatol,14403.0
1920,BHS and ED Joint Commission,308353.25
1921,IHC Meridian Fence Repair,7112.0
1923,IHC 1333C Office Remodel,2387.0
1924,Fremont ABRP - Monitoring Item,22761.0
1925,Temp Dishroom Investigation,1364.0
1926,Construction Camera Replacemen,719.0
1927,NICU Joint Commission I.C,3456.85
1928,Door Latch Replacement & Pivot,400.0
1930,LD Room 3234 Bathroom Water Le,5995.0
1931,OpEx WA - 1525 Related,22133.04
1932,Old Main PR-10 Isolation Fix,1485.0
1933,WH Layout Tape Removal,1042.0
1934,Pyxis Machine Bottom Plate Bol,5972.0
1935,Pharmacy Cage Relocation,10192.0
1936,CHOMP Infection Control,8711.99
1938,Pod Sink Repair 5100 2nd Pod,2673.0
1940,Glove Box,58177.48
1947,102 Malchor Hanging Accessorie,3286.0
1949,Drywall Repairs in Materials M,4396.0
1950,Door Repairs Nursery,2472.0
1951,Archaelogy STEM Investigation,275151.63
1953,OCH CT Control Room Furniture,1440.0
1955,Building 1 Vacant Ste. Remodel,27184.29
1957,4050 Dublin Admin Storeroom Re,13570.0
1958,4050 Dublin ABRP,128649.06
1959,OCH 1.5 Plumbing Repair,7983.0
1960,Oak Bldg Patio Table Assembly,614.0
1962,DH 2 West Sewer Leak,7219.0
1963,OCH Work Orders,5007.0
1964,Building 3 Upholstry,6875.0
1966,Hand Sanitizer Relocation,444.0
1967,Ground Floor Doctor's Lounge T,741.0
1974,Pyxis Machine Bottom Bracket I,2135.0
1977,Archeology Support Santa Cruz,1585.0
1979,PAMF 701 MV PUC ADO Install,15000.0
1980,PAMF 701 1ST Floor DI & Mammo,27489.0
1981,Fairways Sunnyvale,7500.0
1983,Cintas Walk Off Mats New Main,2118.7
1984,Franklin St. Blue Phone Comm.,817.2
1985,DH Satellite Dish Directv,4905.0
1987,Bathroom 1104 Wall Repair,2337.0
1990,Carbon Filter Takeoff Old Main,20951.84
1994,DH Short Stay Containment,6301.0
1998,DH Bike Racks,1130.0
1999,PAMF Mountain View Mammo Monit,11044.0
2000,PAMF 49 Wells Mammo Monitoring,23157.0
2001,PAMF Fremont Mammo Monitoring,36407.0
2002,PAMF Los Altos Mammo Monitorin,12130.0
2003,PAMF Dublin Mammo Monitoring,19315.0
2004,PAMF Dublin Supply Node 2067,4942.0
2007,Clinical Engineering I.C,1465.21
2008,Pharmacy I.C & Rack Removal,2406.71
2010,Pharmacy Cubicle Reconfig.,1249.5
2011,Emergency Trash Haul Away,12958.49
2015,SCU Temp Gen. Excav. & Core,2500.0
2016,4700 Soquel Primary Care Remod,1877367.0
2018,Pyxis Seismic Anchoring & I.C,1370.1
2019,Central Plant Fire Rated Plywo,1256.0
2020,Bistro Make Ready,13037.0
2022,Market St. Street Light,5000.0
2023,ED PPE Cabinets,537.0
2024,New Main 1st Floor Admin Paint,1273.0
2026,PAMF 701 MVC Sterilizer Replac,1003621.44
2027,GSH CT Replacement,166237.0
2028,SCU Remove Conduits 12 kV Bldg,3200.0
2029,PAMF 1950 University Water Dam,11554.0
2030,2C331 Phone Relocation,1872.5
