company_no,receipt_document_no,receipt_no,receipt_date,receipt_amount,receipt_type,receipt_source,receipt_subtype,customer_no,invoice_no,line_no,applied_amount,job_no,job_description
1,13218280,3012,2025-12-29,137671.95,I,C,,152,5243,1,7840.68,3362,SLRH Pharmacy Upgrades
1,13218280,3012,2025-12-29,137671.95,I,C,,152,5397,1,4845.07,3342,SLRH CT Scan Replacement
1,13218280,3012,2025-12-29,137671.95,I,C,,152,5398,1,1025.15,3344,SLRH Joint Commission T.I.
1,13218280,3012,2025-12-29,137671.95,I,C,,152,5399,1,4838.75,3362,SLRH Pharmacy Upgrades
1,13218280,3012,2025-12-29,137671.95,I,C,,152,5575,1,4191.43,3342,SLRH CT Scan Replacement
1,13218280,3012,2025-12-29,137671.95,I,C,,152,5576,1,1942.27,3344,SLRH Joint Commission T.I.
1,13218280,3012,2025-12-29,137671.95,I,C,,152,5577,1,3263.13,3362,SLRH Pharmacy Upgrades
1,EFT01024941,3008,2025-12-25,9347.0,I,C,,106,6411,1,835.0,5200,ECH MOB 700 W Parr Fire Sprink
1,EFT01024941,3008,2025-12-25,9347.0,I,C,,106,6412,1,8512.0,5140,ECH LG 825 Pollard 2nd Flr Mis
1,151366,3006,2025-12-23,22184.8,I,C,,115,6414,1,22184.8,5125,SMSC NPC 4 & 5 Scoping Report
1,151961,3007,2025-12-23,64949.31,I,C,,115,6347,1,26349.65,4741,SH 15720 Winchester Endo Rel
1,151961,3007,2025-12-23,64949.31,I,C,,115,6363,1,38599.66,4119,SH 301 OSF Varian Bravos HDR
1,178069,3004,2025-12-22,96781.02,I,C,,215,6392,1,42389.0,3780,MMH Lab Analyzer Replacement
1,178069,3004,2025-12-22,96781.02,I,C,,215,6393,1,6418.82,3780,MMH Lab Analyzer Replacement
1,178069,3004,2025-12-22,96781.02,I,C,,215,6394,1,47973.2,3780,MMH Lab Analyzer Replacement
1,1758158,3005,2025-12-22,50133.2,I,C,,104,6384,1,32133.2,4956,DH LDR Lights Room
1,1758158,3005,2025-12-22,50133.2,I,C,,104,6385,1,18000.0,4758,Dignity Woodland Memorial Hosp
1,449252,3003,2025-12-19,4168.55,I,C,,133,6362,1,4168.55,5070,SVMH Interim Boiler ConcretePa
1,150886,2999,2025-12-18,44943.65,I,C,,115,6356,1,22057.59,4018,SH 301 OSF Pharmacotherapy Con
1,150886,2999,2025-12-18,44943.65,I,C,,115,6358,1,4923.26,4670,SH 701 MV Pharmacotherapy TI
1,150886,2999,2025-12-18,44943.65,I,C,,115,6369,1,17962.8,4086,SH 701 Remove Doors Admin Rec
1,EFT01018660,3000,2025-12-18,28598.0,I,C,,106,6386,1,7452.0,5045,ECH LG Ortho Bathroom Floor Re
1,EFT01018660,3000,2025-12-18,28598.0,I,C,,106,6389,1,16284.0,5176,ECH LG Wtr Lk Rep Ortho Rm1019
1,EFT01018660,3000,2025-12-18,28598.0,I,C,,106,6395,1,4862.0,5075,ECH LG ICU Miscellaneous
1,150023,2998,2025-12-16,397554.76,I,C,,115,6379,1,209005.24,4052,SH 2581 Sam ENT Relocation
1,150023,2998,2025-12-16,397554.76,I,C,,115,6380,1,16995.95,4052,SH 2581 Sam ENT Relocation
1,150023,2998,2025-12-16,397554.76,I,C,,115,6382,1,171553.57,4863,SH Fremont CT Replacement
1,448991,2996,2025-12-15,57947.15,I,C,,133,6337,1,57947.15,5070,SVMH Interim Boiler ConcretePa
1,1755227,2995,2025-12-12,139799.03,I,C,,104,6357,1,121187.13,5050,DH Dr Lounge Completion
1,1755227,2995,2025-12-12,139799.03,I,C,,104,6366,1,18611.9,5050,DH Dr Lounge Completion
1,149323,2991,2025-12-11,518184.65,I,C,,115,6311,1,2221.22,3467,SH Fremont Bldg 1-Generator
1,149323,2991,2025-12-11,518184.65,I,C,,115,6350,1,515963.43,4029,SH 4000 Dublin 3rd Fl Infusion
1,3841588,2992,2025-12-11,5484.0,I,C,,167,6374,1,5484.0,5168,LPCH Leak G783
1,EFT01017885,2994,2025-12-11,96972.0,I,C,,106,6375,1,33714.0,5003,ECH MV Pharmacy Make Rdy Ph2
1,EFT01017885,2994,2025-12-11,96972.0,I,C,,106,6376,1,10627.0,5005,ECH LG ICU Breakroom Renovatio
1,EFT01017885,2994,2025-12-11,96972.0,I,C,,106,6377,1,50204.0,4602,ECH LG ED&ICU Nurse Call
1,EFT01017885,2994,2025-12-11,96972.0,I,C,,106,6383,1,2427.0,5062,ECH LG Engineering Misc
1,448738,2987,2025-12-10,19641.03,I,C,,133,6322,1,19641.03,4975,SVMH Angio Equipment
1,1754770,2988,2025-12-10,208763.11,I,C,,104,6318,1,208763.11,4107,SJMC IT Infrastructure Refresh
1,148220,2986,2025-12-09,66305.55,I,C,,115,6364,1,3235.87,4531,SH Fremont OBGYN Conversion
1,148220,2986,2025-12-09,66305.55,I,C,,115,6367,1,63069.68,4052,SH 2581 Sam ENT Relocation
1,49178913,2985,2025-12-08,30087.39,I,C,,176,6352,1,30087.39,3109,RMC Hill-Rom Nurse Call Instal
1,147614,2981,2025-12-04,7056.0,I,C,,115,6359,1,6272.0,5198,SMSC Parking Lot Light Trblesh
1,147614,2981,2025-12-04,7056.0,I,C,,115,6360,1,784.0,5202,SMSC Breaker Overload/Break Re
1,147739,2982,2025-12-04,54071.98,I,C,,115,6330,1,33622.49,3468,SH 4050 Dublin-Generator
1,147739,2982,2025-12-04,54071.98,I,C,,115,6355,1,20449.49,4086,SH 701 Remove Doors Admin Rec
1,EFT01011393,2983,2025-12-04,42694.2,I,C,,106,6370,1,42694.2,4455,ECH LG OR 2 & 3 Monitor Additi
1,1753102,2989,2025-12-04,278096.23,I,C,,104,6339,1,69750.6,4808,DH Gen 3 Replacement
1,1753102,2989,2025-12-04,278096.23,I,C,,104,6341,1,208345.63,4775,DH FA Area Detection Part B
1,1753102,2993,2025-12-04,65494.08,I,C,,104,6432,1,65494.08,4808,DH Gen 3 Replacement
1,146629,2979,2025-12-02,36367.04,I,C,,115,6309,1,14317.98,4415,SMSC Kitchen MUA Replacement
1,146629,2979,2025-12-02,36367.04,I,C,,115,6346,1,22049.06,4911,SMSC Elevator Cab Interior Mod
1,146842,2980,2025-12-02,7071.4,I,C,,115,6348,1,7071.4,4741,SH 15720 Winchester Endo Rel
1,3799239,2976,2025-12-01,217139.23,I,C,,167,6321,1,21500.0,4131,LPCH West Lighting Control Sys
1,3799239,2976,2025-12-01,217139.23,I,C,,167,6323,1,5355.0,5020,LPCH Ticket Booth Relocation
1,3799239,2976,2025-12-01,217139.23,I,C,,167,6324,1,4044.6,5020,LPCH Ticket Booth Relocation
1,3799239,2976,2025-12-01,217139.23,I,C,,167,6325,1,8460.21,4954,LPCH Anchor Cows
1,3799239,2976,2025-12-01,217139.23,I,C,,167,6326,1,27621.57,4851,LPCH W Garage Elevator 57 Mode
1,3799239,2976,2025-12-01,217139.23,I,C,,167,6327,1,110487.97,4813,LPCH 730W Chiller Retrofit
1,3799239,2976,2025-12-01,217139.23,I,C,,167,6328,1,13818.5,4850,LPCH Bike Cage 725
1,3799239,2976,2025-12-01,217139.23,I,C,,167,6329,1,25851.38,4850,LPCH Bike Cage 725
1,EFT01010600,2975,2025-11-27,26639.44,I,C,,106,6335,1,15897.44,4073,ECH MV Xstrahl 200 Install
1,EFT01010600,2975,2025-11-27,26639.44,I,C,,106,6338,1,6926.0,5192,ECH LG Penthouse Misc
1,EFT01010600,2975,2025-11-27,26639.44,I,C,,106,6342,1,3816.0,5152,ECH LG Misc Work
1,145907,2973,2025-11-25,23986.28,I,C,,115,6305,1,22762.96,4614,SH 160 Green Vall Rd Ste 202
1,145907,2973,2025-11-25,23986.28,I,C,,115,6312,1,1223.32,4670,SH 701 MV Pharmacotherapy TI
1,841678,2974,2025-11-25,402710.57,I,C,,111,6320,1,402710.57,4348,SCU Adobe (Kitchen) Remodel
1,1750458,2972,2025-11-24,100807.8,I,C,,104,6316,1,82807.8,4956,DH LDR Lights Room
1,1750458,2972,2025-11-24,100807.8,I,C,,104,6317,1,18000.0,4758,Dignity Woodland Memorial Hosp
1,EFT01003899,2971,2025-11-20,58738.5,I,C,,106,6299,1,10266.0,4999,ECH MOB 2490 Ste 305 Sleep Ctr
1,EFT01003899,2971,2025-11-20,58738.5,I,C,,106,6319,1,943.0,5173,ECH MV WO#739299 Install Monit
1,EFT01003899,2971,2025-11-20,58738.5,I,C,,106,6331,1,1602.0,4733,ECH LG West Wall Ext Improve
1,EFT01003899,2971,2025-11-20,58738.5,I,C,,106,6332,1,4334.0,5144,ECH MV Orchard/MBU Relocate Ca
1,EFT01003899,2971,2025-11-20,58738.5,I,C,,106,6333,1,1964.0,5163,ECH MV #744848 Install Glass M
1,EFT01003899,2971,2025-11-20,58738.5,I,C,,106,6334,1,6433.0,5139,ECH MV Sobrato Demo Bike Racks
1,EFT01003899,2971,2025-11-20,58738.5,I,C,,106,6336,1,33196.5,4455,ECH LG OR 2 & 3 Monitor Additi
1,144452,2968,2025-11-18,45866.02,I,C,,115,6264,1,37798.65,4312,SMSC Patient Rm & Nourish Refr
1,144452,2968,2025-11-18,45866.02,I,C,,115,6302,1,8067.37,4911,SMSC Elevator Cab Interior Mod
1,144642,2969,2025-11-18,2913.81,I,C,,115,6303,1,2913.81,4698,SH MAC 11552 (2) ADA Opera
1,143936,2965,2025-11-13,658468.57,I,C,,115,6240,1,625209.26,4029,SH 4000 Dublin 3rd Fl Infusion
1,143936,2965,2025-11-13,658468.57,I,C,,115,6314,1,33259.31,3815,SH 301 Sunnyvale MRI Replace
1,EFT01003451,2966,2025-11-13,56534.94,I,C,,106,6313,1,19901.3,4455,ECH LG OR 2 & 3 Monitor Additi
1,EFT01003451,2966,2025-11-13,56534.94,I,C,,106,6315,1,36633.64,5135,ECHLG OR Add Elec Recept(4542)
1,13207491,2964,2025-11-12,25365.47,I,C,,152,6300,1,25365.47,3342,SLRH CT Scan Replacement
1,143303,2962,2025-11-11,46922.2,I,C,,115,6263,1,46922.2,4415,SMSC Kitchen MUA Replacement
1,143040,2963,2025-11-11,44789.4,I,C,,115,6136,1,15580.64,4211,SH 15400LG Lab Dept Door Mod
1,143040,2963,2025-11-11,44789.4,I,C,,115,6205,1,26262.96,4211,SH 15400LG Lab Dept Door Mod
1,143040,2963,2025-11-11,44789.4,I,C,,115,6232,1,2945.8,4119,SH 301 OSF Varian Bravos HDR
1,18564959,2958,2025-11-07,50368.24,I,C,,176,5726,1,65.43,3109,RMC Hill-Rom Nurse Call Instal
1,18564959,2958,2025-11-07,50368.24,I,C,,176,5728,1,27771.2,3109,RMC Hill-Rom Nurse Call Instal
1,18564959,2958,2025-11-07,50368.24,I,C,,176,5730,1,9237.0,3109,RMC Hill-Rom Nurse Call Instal
1,18564959,2958,2025-11-07,50368.24,I,C,,176,6352,1,13294.61,3109,RMC Hill-Rom Nurse Call Instal
1,1745908,2978,2025-11-07,166467.64,I,C,,104,6318,1,166467.64,4107,SJMC IT Infrastructure Refresh
1,836056,2954,2025-11-06,460640.31,I,C,,111,6294,1,460640.31,4348,SCU Adobe (Kitchen) Remodel
1,142147,2955,2025-11-06,39542.31,I,C,,115,6234,1,39542.31,4753,SH 301 OSF MA Pods
1,EFT00996518,2956,2025-11-06,52057.0,I,C,,106,6306,1,680.0,5138,ECH MV Electrical Rm Fire Rate
1,EFT00996518,2956,2025-11-06,52057.0,I,C,,106,6307,1,11577.0,5128,ECH MV WO# 739187 Board Pro Re
1,EFT00996518,2956,2025-11-06,52057.0,I,C,,106,6308,1,13141.0,4986,ECH MV #731634 Assist IT/AV Rp
1,EFT00996518,2956,2025-11-06,52057.0,I,C,,106,6310,1,26659.0,5105,ECH LG Misc Work
1,1745485,2957,2025-11-06,20868.0,I,C,,104,6273,1,18000.0,4758,Dignity Woodland Memorial Hosp
1,1745485,2957,2025-11-06,20868.0,I,C,,104,6295,1,2868.0,5117,DH OR Flooring Containment
1,141523,2952,2025-11-04,15022.92,I,C,,115,6209,1,15022.92,4352,PAMF 26 Rancho WIC/Ophthalmolo
1,141782,2953,2025-11-04,6157.83,I,C,,115,6304,1,6157.83,4312,SMSC Patient Rm & Nourish Refr
1,1743725,2951,2025-10-31,1221721.8,I,C,,104,6238,1,92636.1,4668,DH IT Infrastructure Refresh 2
1,1743725,2951,2025-10-31,1221721.8,I,C,,104,6239,1,64068.5,4668,DH IT Infrastructure Refresh 2
1,1743725,2951,2025-10-31,1221721.8,I,C,,104,6257,1,689993.0,4484,Dignity CRMC IT Refresh
1,1743725,2951,2025-10-31,1221721.8,I,C,,104,6274,1,375024.2,4107,SJMC IT Infrastructure Refresh
1,3713740,2947,2025-10-30,131574.05,I,C,,167,6275,1,15457.99,3655,LPCH West Fire Pump Replacemen
1,3713740,2947,2025-10-30,131574.05,I,C,,167,6277,1,14440.5,4790,LPCH DigiLock
1,3713740,2947,2025-10-30,131574.05,I,C,,167,6278,1,39224.2,4851,LPCH W Garage Elevator 57 Mode
1,3713740,2947,2025-10-30,131574.05,I,C,,167,6279,1,20271.36,4793,LPCH OR Power - Part 3
1,3713740,2947,2025-10-30,131574.05,I,C,,167,6281,1,42180.0,5020,LPCH Ticket Booth Relocation
1,141158,2948,2025-10-30,138625.0,I,C,,115,6164,1,104731.87,4311,SMSC OR Flr & Cabinet Replacem
1,141158,2948,2025-10-30,138625.0,I,C,,115,6220,1,33893.13,4311,SMSC OR Flr & Cabinet Replacem
1,141262,2949,2025-10-30,60486.29,I,C,,115,5675,1,1948.3,4211,SH 15400LG Lab Dept Door Mod
1,141262,2949,2025-10-30,60486.29,I,C,,115,5700,1,727.78,4211,SH 15400LG Lab Dept Door Mod
1,141262,2949,2025-10-30,60486.29,I,C,,115,5902,1,9750.33,4211,SH 15400LG Lab Dept Door Mod
1,141262,2949,2025-10-30,60486.29,I,C,,115,6103,1,2654.03,4211,SH 15400LG Lab Dept Door Mod
1,141262,2949,2025-10-30,60486.29,I,C,,115,6231,1,25631.23,3468,SH 4050 Dublin-Generator
1,141262,2949,2025-10-30,60486.29,I,C,,115,6244,1,19774.62,4211,SH 15400LG Lab Dept Door Mod
1,EFT00995727,2950,2025-10-30,33622.59,I,C,,106,6290,1,778.0,5137,ECH MV Sobrato GF66 Barrier Wa
1,EFT00995727,2950,2025-10-30,33622.59,I,C,,106,6291,1,1592.0,5130,ECH MV WO#742098 ED Staff Loun
1,EFT00995727,2950,2025-10-30,33622.59,I,C,,106,6292,1,1586.0,5129,ECH MV WO# 740964 Install Spla
1,EFT00995727,2950,2025-10-30,33622.59,I,C,,106,6293,1,1156.0,5136,ECH MV WO# 729556 SPD Monitor
1,EFT00995727,2950,2025-10-30,33622.59,I,C,,106,6296,1,8604.59,4073,ECH MV Xstrahl 200 Install
1,EFT00995727,2950,2025-10-30,33622.59,I,C,,106,6298,1,19906.0,5087,ECHLG Admin Floor Rplmt Assist
1,140493,2946,2025-10-28,145170.87,I,C,,115,6227,1,2274.66,3815,SH 301 Sunnyvale MRI Replace
1,140493,2946,2025-10-28,145170.87,I,C,,115,6228,1,1208.9,4018,SH 301 OSF Pharmacotherapy Con
1,140493,2946,2025-10-28,145170.87,I,C,,115,6237,1,141687.31,4052,SH 2581 Sam ENT Relocation
1,1742100,2945,2025-10-24,258101.48,I,C,,104,6261,1,258101.48,4582,SRDH Siena IT Refresh
1,3712176,2942,2025-10-23,22341.1,I,C,,167,6028,1,22341.1,4529,Art Sculpture at 770Welch Bldg
1,EFT00989234,2943,2025-10-23,116755.59,I,C,,106,5883,1,25172.59,4873,ECH MOB 700 W Parr Aspire Ste
1,EFT00989234,2943,2025-10-23,116755.59,I,C,,106,6152,1,57363.0,4385,ECH MV Imaging Waiting Refresh
1,EFT00989234,2943,2025-10-23,116755.59,I,C,,106,6282,1,2150.0,5039,ECH MV #735544 Women's Imagin
1,EFT00989234,2943,2025-10-23,116755.59,I,C,,106,6283,1,3213.0,5056,ECH MV #739258 Main 4A Med Rm
1,EFT00989234,2943,2025-10-23,116755.59,I,C,,106,6284,1,4074.0,5096,ECHMV #737890 Main ED Stair 3
1,EFT00989234,2943,2025-10-23,116755.59,I,C,,106,6285,1,11276.0,5081,"ECH MV #734869 New Main, GA204"
1,EFT00989234,2943,2025-10-23,116755.59,I,C,,106,6286,1,13507.0,5063,ECH MOB PPI Pool Pump Repair
1,1741719,2944,2025-10-23,504642.01,I,C,,104,6258,1,140666.94,4581,SRDH San Martin IT Refresh
1,1741719,2944,2025-10-23,504642.01,I,C,,104,6259,1,180047.28,4581,SRDH San Martin IT Refresh
1,1741719,2944,2025-10-23,504642.01,I,C,,104,6260,1,183927.79,4582,SRDH Siena IT Refresh
1,1740909,2941,2025-10-21,355669.88,I,C,,104,6255,1,31909.02,4485,Dignity Mercy Gilbert IT Refrs
1,1740909,2941,2025-10-21,355669.88,I,C,,104,6256,1,323760.86,4485,Dignity Mercy Gilbert IT Refrs
1,138639,2935,2025-10-16,4658.15,I,C,,115,5918,1,4658.15,4847,SMSC OR Corridor Sewer LineRep
1,138388,2936,2025-10-16,211882.07,I,C,,115,6206,1,193888.78,4164,SH 795 Locker Rms Convert Exam
1,138388,2936,2025-10-16,211882.07,I,C,,115,6236,1,17993.29,4164,SH 795 Locker Rms Convert Exam
1,EFT00988500,2937,2025-10-16,195818.32,I,C,,106,6048,1,60021.46,4873,ECH MOB 700 W Parr Aspire Ste
1,EFT00988500,2937,2025-10-16,195818.32,I,C,,106,6221,1,61471.0,4999,ECH MOB 2490 Ste 305 Sleep Ctr
1,EFT00988500,2937,2025-10-16,195818.32,I,C,,106,6265,1,252.86,5161,ECH MOB Permit Fee 4873 Fire P
1,EFT00988500,2937,2025-10-16,195818.32,I,C,,106,6267,1,7477.0,5100,ECH MV #740124 Willow 2nd Flr
1,EFT00988500,2937,2025-10-16,195818.32,I,C,,106,6268,1,14255.0,5093,ECH LG OR Sterilizer Misc Repa
1,EFT00988500,2937,2025-10-16,195818.32,I,C,,106,6269,1,1965.0,5104,ECH LG Pharmacy Scanning
1,EFT00988500,2937,2025-10-16,195818.32,I,C,,106,6270,1,11026.0,5058,ECH MV WO# 737861 Shelving for
1,EFT00988500,2937,2025-10-16,195818.32,I,C,,106,6271,1,36504.0,4979,ECH MV Sobrato Ste 500 Casewrk
1,EFT00988500,2937,2025-10-16,195818.32,I,C,,106,6272,1,2846.0,5082,ECH MV 720195 Taube Add Card R
1,1739846,2934,2025-10-15,98792.97,I,C,,104,6193,1,98792.97,4484,Dignity CRMC IT Refresh
1,137763,2932,2025-10-14,182631.56,I,C,,115,6168,1,59636.77,4352,PAMF 26 Rancho WIC/Ophthalmolo
1,137763,2932,2025-10-14,182631.56,I,C,,115,6174,1,37278.39,3842,PAMF 2850 Commercial Crossing
1,137763,2932,2025-10-14,182631.56,I,C,,115,6246,1,39968.57,4614,SH 160 Green Vall Rd Ste 202
1,137763,2932,2025-10-14,182631.56,I,C,,115,6252,1,11774.0,4605,795 ECR Feasibility Walgreens
1,137763,2932,2025-10-14,182631.56,I,C,,115,6253,1,33973.83,4118,PAMF Dublin Sleep Lab Relocati
1,3671491,2933,2025-10-14,79591.89,I,C,,167,5939,1,31050.0,4131,LPCH West Lighting Control Sys
1,3671491,2933,2025-10-14,79591.89,I,C,,167,6062,1,5725.93,4801,LPCH Leak 1858
1,3671491,2933,2025-10-14,79591.89,I,C,,167,6251,1,42815.96,4793,LPCH OR Power - Part 3
1,1738306,2931,2025-10-10,631823.01,I,C,,104,6202,1,631823.01,4775,DH FA Area Detection Part B
1,136687,2927,2025-10-09,542720.07,I,C,,115,6212,1,39362.89,4824,PAMF 201 OSF Vehicle Incident
1,136687,2927,2025-10-09,542720.07,I,C,,115,6229,1,94513.22,3793,PAMF 2400 Samaritan Derm Light
1,136687,2927,2025-10-09,542720.07,I,C,,115,6230,1,62379.18,3793,PAMF 2400 Samaritan Derm Light
1,136687,2927,2025-10-09,542720.07,I,C,,115,6233,1,1577.11,4531,SH Fremont OBGYN Conversion
1,136687,2927,2025-10-09,542720.07,I,C,,115,6235,1,2005.3,4870,SH Fremont Palliative Care
1,136687,2927,2025-10-09,542720.07,I,C,,115,6241,1,13213.71,4741,SH 15720 Winchester Endo Rel
1,136687,2927,2025-10-09,542720.07,I,C,,115,6242,1,218708.26,3725,SH Fremont MRI & CT Replacem
1,136687,2927,2025-10-09,542720.07,I,C,,115,6243,1,110960.4,4863,SH Fremont CT Replacement
1,3669471,2928,2025-10-09,56981.32,I,C,,167,6092,1,29102.55,4529,Art Sculpture at 770Welch Bldg
1,3669471,2928,2025-10-09,56981.32,I,C,,167,6201,1,27878.77,5084,LPCH Room 4254 Leak
1,13196905,2929,2025-10-09,26724.92,I,C,,152,6204,1,26724.92,3342,SLRH CT Scan Replacement
1,EFT00977621,2930,2025-10-09,39241.2,I,C,,106,6245,1,17957.7,4873,ECH MOB 700 W Parr Aspire Ste
1,EFT00977621,2930,2025-10-09,39241.2,I,C,,106,6247,1,957.0,5094,ECH MV NM Anesthesiology Offfi
1,EFT00977621,2930,2025-10-09,39241.2,I,C,,106,6248,1,808.0,5095,ECH MV NM ED Wait Rm R5 Zoneli
