Account,Account_Num,Account_Description,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01
1110,1110,Emp dependent coverage,,,,,,4260.39,-54.98,1475.09,1430.16,782.1,1065.13,-6112.73,716.33,-317.66,-1365.32,850.72,-7.21,424.08,-3146.1,-98.12,98.12,0.0,0.0,-0.0,0.0,-21689.8,2490.4,2300.39,2133.86,2219.86,2476.7,1808.67,2176.86,2176.86,2176.86,1729.34,426.83,-426.83,-21924.6,2331.77,2525.87,2004.05,-2281.78,3351.07,4134.67,2213.83,2046.2,12415.23,-6185.34,-1110.98,839.69,719.34,-1332.68,1065.8,687.41,1167.41,3678.5,1327.09,-1862.09,-6107.11,-9681.98,1204.87,3089.2,-93.37,-20341.81,-547.43,3298.07,2493.7,4344.86,6121.3,4405.22,-7825.76,-63.35,-490.38,954.85,-2425.15,1301.17,1379.17,2324.75,325.03,128.03,-997.37,4195.96,7197.07,-34075.86,2455.47,2035.19,1346.19,3832.36,2859.76,1596.56,2961.06,2866.26,3715.96,10531.72,-2909.05,401.53,1488.59,478.19,9855.94,-5232.5,498.86,3054.24,2117.42,267.42,4057.42,7772.42,-21975.15,1594.92,1814.92,192.42,2305.42,5169.01,9263.78,393.0,25.52,711.52,12347.04,-46411.16,12593.61,-11196.0,10014.04,2427.94,-1061.8,3308.49,27062.17,-7115.32,3473.73,6737.14,3709.55,5297.23,3761.22,-3348.38
1120,1120,Loan to GMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000.0,-18881.96,,-31118.04,,1075.0,-1075.0,20.0,,,-20.0,,,,,,,0.0,0.0,,,0.0,,131.79,-131.79,,,0.0,,1478.0,-1393.34,-84.66,,,,0.0,0.0,0.0,0.0,,,2110.0,-2110.0,0.0,0.0,0.0,,,,2056.64,0.0,-2056.64,1439.23,0.0,0.0,,,7089.67,-8528.9,0.0,,,,,,1075.0,,-1075.0,,-0.0,0.0,0.0,,,1670.8,-1670.8,,,19601.95,3575.94,-2848.15,-10727.66,3374.29,3856.72,-16025.28,16619.41,,-17427.22,3941.79,27035.2,4901.9,,-35199.11,,5193.06,-2679.02,,-3193.82,1052.52,-1052.52,
1122,1122,Loan to T&G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.68,-116.68,,0.0,,,,,0.0,,,,,,,,,,,,1000.0,,-1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,1124,Loan to JJRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1248.49,-1248.49,,,,,,,,,,,,,,,1000.0,,-1000.0,,,,,1298.15,-1298.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,1126,Loan to T&G AZ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14798.95,,,,,-14798.95,,,,,,
1130,1130,Loan to shareholder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000.0,,,,,,,,,,,,-350000.0,0.0,,,,,,200000.0,-200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1300,1300,Building Improvements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529898.97,,,,,,,,,,,,284716.71,,,,,,,,,,,,90104.39,,,,,,,,,,,,,
1305,1305,Accum dep - Building Improv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6624.0,,,,,,,,,,,,-31646.0,,,,,,,,,,,,-54308.0,-5026.22,-5026.22,-5026.22,-5026.22,-5026.22,-5026.22,-5026.22,-5026.22,-5026.22,-5026.22,-5026.22,0.0,
1310,1310,Equipment and Machinery,,186216.26,6972.0,-1018.26,,,,3077.64,,1706.65,,-8934.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4860.51,,,,
1315,1315,Accum dep - Equip/Machinery,,,,,,,,,,,,-22347.0,,,,,,,,,,,,-26859.0,,,,,,,,,,,,-26859.0,,,,,,,,,,,,-26859.0,,,,,,,,,,,,-26859.0,,,,,,,,,,,,-26859.0,,,,,,,,,,,,-26859.0,,,,,,,,,,,,-4519.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-81.01,-81.01,-81.01,0.0,
1320,1320,Furniture and Equipment,,1112.98,916.67,,,,,1174.78,,,,-3204.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012.14,,,,,,,,3005.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325,1325,Accum dep - Furn and Equip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72.0,,,,,,,,,,,,-876.0,,,,,,,,,,,,-223.0,,,,,,,,,,,,-717.0,-59.74,-59.74,-59.74,-59.74,-59.74,-59.74,-59.74,-59.74,-59.74,-59.74,-59.74,0.0,
1400,1400,Field vehicles,,160700.0,18860.86,0.0,,15000.0,39278.0,5217.68,,,,-7078.54,19790.19,9971.0,,,25495.83,3500.0,,,,,,25050.69,,,,,15000.0,,,12500.0,26218.25,,,,,,,-9500.0,29098.25,,69488.86,-12500.0,,,,,,10000.0,,,,,,,54679.9,,,,,,,38000.0,,3457.0,-17000.0,,,,-19761.19,37317.4,,,,,,-11500.0,,,,,,,22949.84,,,,,,,71035.15,,,,,96116.74,,158721.54,-500.0,45040.42,,,,-25495.83,,,164276.96,-431.28,,-35000.0,,35105.34,,51747.75,,95223.82,,116864.52,102298.36,,-10600.0,45458.12,,90916.24,21042.9,32546.72,,,-90355.34,-55700.0,,
1405,1405,Accum dep - Field vehicles,,,,,,,,,,,,-34391.0,,,,,,,,,,,,-55158.0,,,,,,,,,,,,-67738.0,,,,4592.0,,,,12500.0,,,,-91512.0,,5000.0,,,,,,,,,,-93120.0,,,,,,,15667.0,,,,15150.0,-71354.0,,,,,,11500.0,,,,,,-76516.0,,,,,,,,94488.86,,,,-101754.0,,,,,,,,,25495.83,,,-47419.75,,,35000.0,,,,,,,,9180.0,-173331.0,-19446.85,-18563.52,-19446.85,-20204.48,-20962.12,-22069.94,-22612.38,-21921.43,-21921.43,43275.08,34363.66,0.0,
1500,1500,Prepaid insurance - W/C,,,8766.0,5.0,,,,,,,,,,-4322.17,4539.93,4202.74,-579.17,-4993.33,-11009.96,43042.17,-8075.76,-9274.21,-8884.81,-13373.34,,,,,,,,,,,,-43.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67180.83,-13436.17,-13436.17,-13436.17,-13436.17,-13436.17,39792.67,-19896.33,17922.67,0.0,
1501,1501,Prepaid insurance - Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7877.99,-716.18,-716.18,-716.18,-716.18,-716.18,-716.18,-716.18,-716.18,-716.18,-716.18,-716.19,3953.77,-790.75,-790.75,-790.75,-790.75,-790.75,8401.02,-763.73,-763.73,-763.73,
1502,1502,Prepaid insurance - CGL/Vehicl,,,,,,,,,,,,,,,,,,,,,,,,,,,68196.33,-6375.49,-6133.84,-6187.45,-6187.45,-6187.45,-6187.45,-6187.45,-6187.45,-6187.45,-6187.43,-6187.42,100921.33,-9174.67,-9174.67,-9174.67,-9174.67,-9174.67,-9174.67,-9174.67,-9174.67,-9174.67,-9174.65,-9174.65,85570.83,-7779.17,-7779.17,-7779.17,-7779.17,-7779.17,-7779.17,-7779.17,-7779.17,-7779.17,-7779.17,-7779.13,94572.5,-8597.5,-17195.0,,-8597.5,-8597.5,-8597.5,-8597.5,-8597.5,-8597.5,-8597.5,107160.98,-9402.37,-9402.37,-10134.84,-9646.54,-9646.54,-9646.54,-9646.54,-9646.54,-9646.54,-9646.54,-9646.56,-9646.56,127095.35,-11554.13,-11554.13,-11554.13,-11554.13,-11554.13,-11554.13,-11554.13,-11554.13,-11554.13,-11554.13,179767.53,-15943.47,-15943.47,-15943.47,-15943.47,-15943.47,-15943.47,-15943.47,-15943.47,-15943.47,-15943.47,-15943.47,-15943.41,196409.15,-17855.37,-17855.37,-17855.37,-17855.37,-17855.37,-17855.37,-17855.37,-17855.37,-17855.37,-17855.37,-17855.45,108311.91,-21662.39,-21662.39,-21662.39,-21662.39,-21662.39,55142.02,-27570.99,35939.18,0.0,
1503,1503,Prepaid insurance - Property,,,,,,,,,,,,7746.6,-958.32,-1549.32,-1748.82,-1771.32,15206.68,-1718.82,-1718.82,-793.74,-1410.46,-1410.46,-1410.46,-1410.46,-1410.46,-1410.46,19698.32,-4816.79,-1301.89,-1979.0,-1979.0,-1979.0,122.0,-3107.0,-2379.0,-1217.0,-2334.0,-2959.0,27440.42,-2494.58,-4299.98,-170.78,-2108.03,-277.17,-3815.37,-2614.17,-2570.48,-2762.48,-2112.69,-3163.69,13865.5,-1260.5,-1260.5,-1260.5,465.5,-1506.07,-1506.07,-1506.07,-1506.07,-2033.91,-1771.16,-1771.15,19588.25,-1780.75,-2722.3,,-1885.65,-1885.65,-1885.65,-1885.65,-1885.65,-1885.65,-1787.65,16926.35,-1575.83,-1575.83,-1575.83,-1575.83,-1575.83,-1575.83,-1575.83,-1575.83,-1575.83,-1575.83,-1575.85,-1575.85,23133.92,-2103.08,-2103.08,-2103.08,-2103.08,-2103.08,-2103.08,-2103.08,-2103.08,-2103.08,-2103.08,35997.92,-3175.08,-3175.08,-3175.08,-3175.08,-3175.08,-3175.08,-3175.08,-3175.08,-3175.08,-3175.08,-3175.08,-3175.16,30842.17,-2803.83,-2803.83,-2803.83,-2803.83,-2803.83,-2803.83,-2803.83,-2803.83,-2803.83,-2803.83,-2803.87,60614.44,-3565.56,-3565.56,-3565.56,-3565.56,-3565.56,-3565.56,-3565.56,-3563.68,-3565.56,
1504,1504,Prepaid insurance - Cyber,,,,,,,,,,,,,,,,,,,,,,,,,,,9490.0,-1772.0,-772.0,-771.78,-771.78,-771.78,-771.78,-771.78,-771.78,-771.78,-771.77,-771.77,9887.17,-898.83,-898.83,-898.83,-898.83,-898.83,-898.83,-898.83,-898.83,-898.83,-898.85,-898.85,10246.5,-931.5,-931.5,-931.5,-931.5,-931.5,-931.5,-931.5,-931.5,-931.5,-931.5,-931.5,18205.92,-1655.08,-3310.16,,-1655.08,-1655.08,-1655.08,-1655.08,-1655.08,-1655.08,-1655.1,2044.9,-308.33,-308.33,-308.33,-308.33,-308.33,-308.33,-308.33,-308.33,-308.33,-308.33,-308.35,-308.35,4244.17,-385.83,-385.83,-385.83,-385.83,-385.83,-385.83,-385.83,-385.83,-385.83,-771.7,3858.3,-385.83,-385.83,-385.83,-385.83,-385.83,-385.83,-385.83,-385.83,-385.83,-385.83,0.0,0.0,4244.17,-385.83,-385.83,-385.83,-385.83,-385.83,-385.83,-385.83,-385.83,-385.83,-385.83,-385.87,10351.11,-608.89,-608.89,-608.89,-608.89,-608.89,-608.89,-608.89,-608.89,-608.89,
1505,1505,Prepaid insurance - PL/Umb,,,4824.6,-438.6,-438.6,-438.6,-438.6,-438.6,-438.6,-438.6,-438.6,-438.6,-438.6,-438.6,23950.83,-2177.35,-2177.35,-2177.35,-2177.35,-2177.35,-2177.35,-2177.35,-2177.35,-2177.35,-2177.34,-2177.34,,,,,,,,,,,,,,,,,,,,,,,,,,3972.5,-794.5,-794.5,833.5,-1357.52,-309.52,309.52,309.52,-1374.5,-397.25,-397.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78644.83,-4626.17,-4626.17,-4626.17,-4626.17,-4626.17,-4626.17,-4626.17,-4626.17,-4626.17,
